Name,Team,PA,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
"Garrett Mitchell","MIL",224,94.16890975140056,,89.401611328125,85.6933349609375,,92.92768205915179,85.31712194991438,79.0628192608173,79.32856968470982,65.64999389648438,85.65288837139423,81.69999694824219,,"Garrett Mitchell",27555,669003
"Garrett Stubbs","PHI",187,93.5052663208502,,90.51905071924604,86.58333333333333,,92.4547809103261,83.1021956559066,79.39056972287736,80.7125015258789,,86.37833658854167,,,"Garrett Stubbs",18067,596117
"Gary Sánchez","MIL",280,93.79493423655063,,89.41622017525337,86.05,,93.13886626184834,84.08445945945945,79.58437601725261,80.43999633789062,39.900001525878906,85.38386781754032,,,"Gary Sanchez",11442,596142
"Gavin Lux","LAD",487,94.45137065831987,,90.16454819775132,86.45056289501404,,93.31263396886281,84.43993833529875,80.43154231333892,81.76285574776786,54.70000203450521,86.80200489457832,,76.50908868963069,"Gavin Lux",19955,666158
"Gavin Sheets","CHW",501,93.97738287560581,,90.29037850935829,86.4489109205163,,93.03478569664031,83.90285406769596,79.43610749421296,81.58333333333333,,86.34832423327137,,,"Gavin Sheets",19901,657757
"George Springer","TOR",614,94.04655172413793,,89.0436991202731,86.1566650390625,,93.13550141765286,84.50050297867892,79.1692965323465,82.89999787703805,,84.80686083026961,,57.099998474121094,"George Springer",12856,543807
"Geraldo Perdomo","ARI",388,94.4238892607084,,89.9000015258789,87.43225491431451,,93.90201005025126,84.37331099866547,79.80070560079226,83,,85.74538730053192,,78.0111083984375,"Geraldo Perdomo",22799,672695
"Giancarlo Stanton","NYY",459,93.75952646683673,,88.52595718034351,86.28636585582386,,94.07821568080357,84.62079831932773,79.50727095170454,83.1,54.633331298828125,84.31005586592178,,,"Giancarlo Stanton",4949,519317
"Gio Urshela","- - -",461,93.67409008610858,,90.08583374023438,84.70294009937959,,93.48797586447594,84.72292867169031,79.75658055355674,79.19047619047619,41.666666666666664,83.9652961282169,80.80000305175781,,"Gio Urshela",10681,570482
"Gleyber Torres","NYY",665,94.1180746668598,,89.36422413793103,86.53866536458334,,93.35443742698598,84.5267578125,79.2454034213362,81.72727272727273,65.76666259765625,84.32366710400764,,,"Gleyber Torres",16997,650402
"Grant McCray","SFG",130,93.98076923076923,,88.38333333333334,86.29999889026989,,94.10181995738637,84.72474025451031,79.07072932545732,82.75,58.79999923706055,85.27454723011364,,,"Grant McCray",25690,687529
"Griffin Conine","MIA",89,94.33636363636364,,91.18947239925987,87.4923095703125,,93.42571149553571,86.34848484848484,80.13555772569444,79.13333129882812,52.95000076293945,85.91379310344827,85.16666666666667,,"Griffin Conine",21626,665052
