Name,Team,PA,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
"Adolis García","TEX",637,-2.171839516037107,,0.9941103548616976,-6.0824865525768645,,-5.887394873371674,3.0668449672401374,1.9403494006005404,1.7192037673223586,,0.07725491599431114,,,"Adolis Garcia",19287,666969
"Randy Arozarena","- - -",648,-1.5126863457967175,,0.3425759315490723,-5.58554300768622,,-6.319196460865162,2.800937888896571,2.2307627159495684,3.499302774105432,-3.2746448516845703,1.059228166771644,,,"Randy Arozarena",19290,668227
"Alex Call","WSN",113,-0.9185324722195264,,1.4493415267379195,-7.538086954752604,,-4.52265943922438,2.383538783281699,-1.2756479436700994,2.5715713500976562,,5.23932843889509,,,"Alex Call",19296,669743
"Matt Thaiss","LAA",186,-3.802028633163361,,0.13397142964024697,-5.5277271886025705,,2.6597470735248767,0.6163985153724407,4.732414076063368,2.113299109719016,,-8.830143795737737,,,"Matt Thaiss",19318,642136
"Bryan Reynolds","PIT",692,-1.4501455990672942,,0.540313398334342,-3.7754743171460703,,-4.0939724731445315,1.441434822501717,2.587544279278449,3.0739402077414772,,-2.9401093982514883,,,"Bryan Reynolds",19326,668804
"Nicky Lopez","CHW",445,-3.65718779536862,,0.5067698577714097,-7.232147216796875,,-3.9434283601135767,2.433213781932044,4.966632681833187,4.386171468098959,,-8.624528923290688,,,"Nicky Lopez",19339,670032
"Sean Murphy","ATL",264,-1.5002205307419236,,1.121126665387835,-1.5786965110085227,,-5.191229439637052,2.4328109939377027,1.619266432158801,3.0850317818777904,-0.9677497545878092,1.7500620009023933,-5.425832271575928,,"Sean Murphy",19352,669221
"Luke Raley","SEA",455,-3.0692994505494506,,0.4757218332001657,-6.757791890726461,,-3.626278600960134,1.434093995958049,4.239192930590205,3.917180633544922,-7.032616424560547,-8.19588834223365,,,"Luke Raley",19354,670042
"Weston Wilson","PHI",98,-1.8074858093261719,,0.7776967457362584,-3.931561279296875,,3.9552928003771552,0.32607793259894713,0.2665761311848958,-0.9160255193710327,,5.1370697021484375,,,"Weston Wilson",19358,642215
"Austin Hays","- - -",255,-0.5064293725149972,,0.10254267283848353,-1.492236328125,,-5.2039298473949165,1.8530681226971888,0.8146182133601262,-1.8664243698120118,,2.0110506330217635,-4.856640815734863,,"Austin Hays",19363,669720
"Zach McKinstry","DET",325,-4.335777232631291,,0.47747467611437644,-8.025307906301398,,-6.472695641483821,2.4410810508275693,4.342464980258737,5.628162928989956,-1.570963700612386,-8.720028831845237,-3.580634355545044,,"Zach McKinstry",19392,656716
"Brian Serven","TOR",71,-1.4170974259524,,0.44266433186001247,,,-0.011379679044087728,1.78336915515718,-0.4047904448075728,4.099141597747803,,2.6145065307617186,,,"Brian Serven",19422,661531
"Jake Rogers","DET",337,-1.9152386593619428,,0.35566100333500833,-1.872638193766276,,-3.6248016990566647,2.7531481756680254,1.5638966214829597,1.7699501855032784,0.7831394672393799,1.3572791689918156,,,"Jake Rogers",19452,668670
"Andruw Monasterio","MIL",142,2.093894053313692,,0.6187139749526978,4.598244667053223,,-1.2429616110665458,1.4572529164395591,0.17895443846539752,0.23133781221177843,-4.122747898101807,7.026009981749488,-6.057835578918457,,"Andruw Monasterio",19455,655316
"Tommy Edman","LAD",153,-2.5854345703125,,0.5870953773965641,-5.621400056061922,,-3.5209345962062026,2.4727927498195483,2.1411337758980546,1.0199215888977051,,-4.732432346717984,,,"Tommy Edman",19470,669242
"Andrew Knizner","TEX",93,-3.2195977679753707,,0.1983084996541341,-6.988994121551514,,-4.705925657038103,1.876795991938165,4.2509511311848955,-0.38502593835194904,,4.878743807474772,,,"Andrew Knizner",19514,668800
"TJ Friedl","CIN",341,-2.8206456444871613,,1.0239596535973514,-6.298465728759766,,-2.065377154753576,0.8261431084304559,3.031026654538855,1.5182940743186257,2.194326639175415,-8.42579318168468,,,"TJ Friedl",19522,670770
